time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
1970/01/01/01:04:39.210000,5579,279,210000000,world,-22.35198074676471,0.0062977726103481645,-16.994389245557876,0.01413782197788738,-0.0001510833481152891,0.9998916404446779,0.004099577099480261
1970/01/01/01:04:39.260000,5580,279,260000000,world,-22.37223289631297,0.006433974064726081,-16.994178345269855,0.014030801944429072,2.328138842403268e-05,0.9998890687134193,0.004998632031300753
1970/01/01/01:04:39.310000,5581,279,310000000,world,-22.392297817648707,0.00656843111385635,-16.993963320347888,0.013935561433977593,0.0001501376750237122,0.9998896291041249,0.005148513981137469
1970/01/01/01:04:39.360000,5582,279,360000000,world,-22.41226309024157,0.006704532240092276,-16.99374367520317,0.01387130954916165,0.00019668429916851407,0.9998942375583952,0.0043659803244126385
1970/01/01/01:04:39.410000,5583,279,410000000,world,-22.43232043167029,0.00684604679861195,-16.993513845182417,0.013861654076070628,0.00012359567408647598,0.9998996112497786,0.0029337165722725296
1970/01/01/01:04:39.460000,5584,279,460000000,world,-22.452155099383216,0.006989869299402568,-16.993280805390484,0.013791815504052549,-5.792345512054033e-05,0.9999038627250504,0.0014310057648965428
1970/01/01/01:04:39.510000,5585,279,510000000,world,-22.47168897510474,0.00713335751131756,-16.993046438807905,0.013682269429483605,-0.00019932537203771648,0.9999063588501118,0.00017118342966282544
1970/01/01/01:04:39.560000,5586,279,560000000,world,-22.491012958421038,0.00727481303847179,-16.99280814851619,0.013578590213012427,-0.0002665252494579202,0.9999075738874832,-0.0006281198657930423
1970/01/01/01:04:39.610000,5587,279,610000000,world,-22.510227616631845,0.007407619154929961,-16.992572127695468,0.013504607509868977,-0.00021595944062404503,0.9999085012454298,-0.0007537072660242452
1970/01/01/01:04:39.660000,5588,279,660000000,world,-22.529576598668278,0.007524619802205881,-16.99236430683033,0.013505409291020083,-6.231050540575028e-05,0.9999087776710919,-0.00019071860389496316
1970/01/01/01:04:39.710000,5589,279,710000000,world,-22.549123620955452,0.007622028962582955,-16.992155222912395,0.013547751404373537,6.83159908713578e-05,0.9999077815654116,0.0009392176254940352
